Sales,06/22/21,06/23/21,06/24/21,06/25/21,06/26/21,06/27/21,06/28/21,06/29/21,06/30/21,07/01/21,07/02/21,07/03/21,07/04/21,07/05/21,07/06/21,07/07/21,07/08/21,07/09/21,07/10/21,07/11/21,07/12/21,07/13/21,07/14/21,07/15/21,07/16/21,07/17/21,07/18/21,07/19/21,07/20/21,07/21/21,07/22/21,07/23/21,07/24/21,07/25/21,07/26/21,07/27/21,07/28/21,07/29/21,07/30/21,07/31/21,08/01/21,08/02/21,08/03/21,08/04/21,08/05/21,08/06/21,08/07/21,08/08/21,08/09/21,08/10/21,08/11/21,08/12/21,08/13/21,08/14/21,08/15/21,08/16/21,08/17/21,08/18/21,08/19/21,08/20/21,08/21/21,08/22/21,08/23/21,08/24/21,08/25/21,08/26/21,08/27/21,08/28/21,08/29/21,08/30/21,08/31/21,09/01/21,09/02/21,09/03/21,09/04/21,09/05/21,09/06/21,09/07/21,09/08/21,09/09/21,09/10/21,09/11/21,09/12/21,09/13/21,09/14/21,09/15/21,09/16/21,09/17/21,09/18/21,09/19/21,09/20/21,09/21/21,09/22/21,09/23/21,09/24/21,09/25/21,09/26/21,09/27/21,09/28/21,09/29/21,09/30/21,10/01/21,10/02/21,10/03/21,10/04/21,10/05/21,10/06/21,10/07/21,10/08/21,10/09/21,10/10/21,10/11/21,10/12/21,10/13/21,10/14/21,10/15/21,10/16/21,10/17/21,10/18/21,10/19/21,10/20/21,10/21/21,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/27/21,10/28/21,10/29/21,10/30/21,10/31/21,11/01/21,11/02/21,11/03/21,11/04/21,11/05/21,11/06/21,11/07/21,11/08/21,11/09/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21,11/18/21,11/19/21,11/20/21,11/21/21,11/22/21
Gross Sales,$0.00,$0.00,"$1,678.00","$1,776.00","$6,055.00","$5,692.00",$0.00,$0.00,$0.00,$797.00,"$2,636.00","$7,245.00","$6,149.00",$0.00,$0.00,$0.00,$429.00,"$4,160.00","$8,486.00","$5,837.00",$0.00,$0.00,$0.00,"$1,374.00","$3,518.00","$9,172.00","$6,047.10",$0.00,$0.00,$697.00,$442.00,"$3,810.00","$8,585.08","$5,971.00",$0.00,$0.00,"$1,290.00","$2,246.00","$2,791.00","$8,899.00","$7,687.00",$0.00,$0.00,$0.00,$751.00,"$3,036.00","$8,097.00","$5,947.00",$0.00,$0.00,$751.00,"$1,185.00","$2,502.00","$5,977.00","$5,137.00",$0.00,$0.00,"$1,453.00",$496.00,"$2,791.00","$4,340.00","$3,022.00",$0.00,$0.00,$0.00,$607.00,"$2,846.00","$6,717.00","$5,316.00",$0.00,"$1,741.00",$74.00,$637.00,"$1,861.00","$5,696.00","$6,233.00","$1,582.00",$0.00,$559.00,$535.00,"$1,817.00","$6,717.00","$5,044.00",$0.00,$608.00,$783.00,$560.00,"$2,134.00","$7,506.40","$6,837.00",$0.00,$0.00,$0.00,"$1,278.00","$1,251.07","$7,050.00","$6,182.00",$0.00,$0.00,$839.00,"$1,103.00","$1,943.00","$6,595.00","$6,852.00",$0.00,$0.00,$292.00,$751.00,"$2,328.00","$6,131.00","$5,650.00",$128.00,$0.00,$0.00,$773.00,"$2,306.00","$6,809.00","$5,356.00",$0.00,$0.00,$857.01,"$1,065.00","$1,383.00","$6,933.00","$4,822.00",$0.00,$0.00,$454.00,"$1,279.00","$1,950.00","$5,217.00","$6,268.90",$620.00,"$1,107.00",$197.00,$908.00,"$2,679.00","$7,012.00","$6,399.00",$0.00,$74.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Returns,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-24.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-11.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-69.00,$-51.00,$0.00,$0.00,$-10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-8.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$-3.24,$-56.52,$-27.00,$0.00,$0.00,$0.00,$-2.16,$-12.96,$-38.02,$0.00,$0.00,$0.00,$0.00,$0.00,$-8.64,$-20.52,$0.00,$0.00,$0.00,$0.00,$0.00,$-9.72,$-68.00,$-26.76,$0.00,$0.00,$0.00,$0.00,$-10.80,$-70.20,$-85.94,$0.00,$0.00,$-3.24,$0.00,$-10.80,$-51.72,$-25.08,$0.00,$0.00,$0.00,$0.00,$-13.32,$-86.70,$-45.79,$0.00,$0.00,$-54.00,$0.00,$-5.40,$-56.32,$-23.40,$0.00,$0.00,$0.00,$0.00,$-24.00,$-4.00,$-2.00,$0.00,$0.00,$0.00,$0.00,$-15.40,$-132.90,$-6.00,$0.00,$0.00,$0.00,$0.00,$-4.00,$-20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-35.00,$0.00,$0.00,$-77.00,$-4.00,$0.00,$-23.80,$-26.00,$-87.00,$0.00,$0.00,$0.00,$0.00,$-12.00,$-8.00,$-5.10,$0.00,$0.00,$-28.00,$0.00,$-48.00,$-25.60,$0.00,$0.00,$0.00,$-8.00,$0.00,$-2.00,$-22.00,$0.00,$0.00,$0.00,$0.00,$-23.64,$-22.00,$-11.10,$-223.00,$0.00,$0.00,$-66.00,$0.00,$-66.00,$-61.20,$-26.00,$0.00,$0.00,$0.00,$-279.10,$-6.00,$-41.90,$-2.00,$0.00,$0.00,$-42.00,$0.00,$-177.00,$-12.00,$-167.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$0.00,$0.00,"$1,678.00","$1,772.76","$5,998.48","$5,665.00",$0.00,$0.00,$0.00,$794.84,"$2,623.04","$7,176.98","$6,149.00",$0.00,$0.00,$0.00,$429.00,"$4,121.36","$8,465.48","$5,837.00",$0.00,$0.00,$0.00,"$1,374.00","$3,508.28","$9,084.00","$6,020.34",$0.00,$0.00,$697.00,$442.00,"$3,781.20","$8,514.88","$5,885.06",$0.00,$0.00,"$1,286.76","$2,246.00","$2,780.20","$8,847.28","$7,661.92",$0.00,$0.00,$0.00,$751.00,"$3,022.68","$8,010.30","$5,901.21",$0.00,$0.00,$697.00,"$1,185.00","$2,496.60","$5,920.68","$5,113.60",$0.00,$0.00,"$1,429.00",$496.00,"$2,767.00","$4,336.00","$3,020.00",$0.00,$0.00,$0.00,$607.00,"$2,830.60","$6,584.10","$5,310.00",$0.00,"$1,741.00",$74.00,$637.00,"$1,857.00","$5,676.00","$6,233.00","$1,582.00",$0.00,$549.00,$535.00,"$1,817.00","$6,682.00","$5,044.00",$0.00,$531.00,$779.00,$560.00,"$2,110.20","$7,480.40","$6,750.00",$0.00,$0.00,$0.00,"$1,278.00","$1,239.07","$7,042.00","$6,165.90",$0.00,$0.00,$811.00,"$1,103.00","$1,895.00","$6,551.40","$6,852.00",$0.00,$0.00,$284.00,$751.00,"$2,326.00","$6,109.00","$5,650.00",$128.00,$0.00,$0.00,$749.36,"$2,284.00","$6,728.90","$5,082.00",$0.00,$0.00,$781.01,"$1,065.00","$1,317.00","$6,871.80","$4,796.00",$0.00,$0.00,$454.00,$999.90,"$1,944.00","$5,175.10","$6,266.90",$620.00,"$1,107.00",$155.00,$900.00,"$2,502.00","$7,000.00","$6,232.00",$0.00,$74.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$0.00,$132.42,$142.88,$443.19,$448.60,$0.00,$0.00,$0.00,$63.33,$189.08,$517.48,$473.28,$0.00,$0.00,$0.00,$26.38,$317.21,$627.62,$394.33,$0.00,$0.00,$0.00,$99.42,$270.97,$661.80,$470.22,$0.00,$0.00,$50.70,$15.54,$188.21,$634.68,$440.23,$0.00,$0.00,$77.84,$154.31,$202.32,$636.99,$578.28,$0.00,$0.00,$0.00,$60.01,$227.57,$571.99,$459.21,$0.00,$0.00,$56.02,$98.17,$191.04,$466.23,$416.19,$0.00,$0.00,$116.79,$35.92,$224.51,$342.40,$232.33,$0.00,$0.00,$0.00,$46.87,$220.09,$523.35,$418.72,$0.00,$87.95,$6.57,$44.45,$126.15,$422.71,$455.50,$126.56,$0.00,$42.27,$39.22,$127.61,$525.95,$403.93,$0.00,$39.68,$66.66,$43.59,$160.75,$602.53,$511.67,$0.00,$0.00,$0.00,$62.55,$90.10,$523.19,$440.16,$0.00,$0.00,$66.58,$87.11,$138.39,$505.87,$559.07,$0.00,$0.00,$23.25,$59.38,$170.81,$461.29,$437.47,$9.15,$0.00,$0.00,$54.98,$173.68,$519.34,$347.30,$0.00,$0.00,$66.67,$76.60,$101.90,$524.24,$369.11,$0.00,$0.00,$36.85,$73.14,$153.36,$403.67,$501.56,$42.52,$93.67,$13.74,$74.20,$186.97,$537.42,$483.00,$0.00,$6.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tip,$0.00,$0.00,$140.29,$332.28,"$1,008.91",$991.59,$0.00,$0.00,$0.00,$164.11,$429.57,"$1,311.21","$1,130.71",$0.00,$0.00,$0.00,$64.57,$771.80,"$1,451.47",$869.12,$0.00,$0.00,$0.00,$356.06,$742.88,"$1,431.59",$998.08,$0.00,$0.00,$86.96,$39.59,$359.08,"$1,335.48",$932.43,$0.00,$0.00,$96.26,$363.72,$469.91,"$1,427.81","$1,217.18",$0.00,$0.00,$0.00,$132.42,$488.71,"$1,206.74",$986.17,$0.00,$0.00,$138.42,$234.84,$425.97,$961.16,$848.03,$0.00,$0.00,$248.33,$90.14,$452.28,$691.10,$574.19,$0.00,$0.00,$0.00,$88.30,$542.33,"$1,154.28",$884.30,$0.00,$189.39,$16.12,$109.52,$333.82,"$1,117.79","$1,018.18",$325.05,$0.00,$100.20,$79.43,$237.43,"$1,153.87",$925.20,$0.00,$105.69,$153.14,$106.66,$311.44,"$1,315.46","$1,172.64",$0.00,$0.00,$0.00,$140.47,$223.12,"$1,130.21",$969.06,$0.00,$0.00,$144.99,$210.39,$352.08,"$1,085.62","$1,243.29",$0.00,$0.00,$42.64,$132.26,$340.03,"$1,071.88","$1,010.04",$19.04,$0.00,$0.00,$127.86,$400.86,"$1,132.78",$741.90,$0.00,$0.00,$167.52,$162.41,$242.15,"$1,136.80",$885.17,$0.00,$0.00,$77.58,$199.98,$330.79,$932.18,$960.05,$94.32,$250.50,$35.73,$134.75,$437.18,"$1,219.96",$991.52,$0.00,$6.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$-47.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$0.00,$0.00,"$1,950.71","$2,247.92","$7,450.58","$7,105.19",$0.00,$0.00,$0.00,"$1,022.28","$3,241.69","$9,005.67","$7,752.99",$0.00,$0.00,$0.00,$519.95,"$5,210.37","$10,544.57","$7,100.45",$0.00,$0.00,$0.00,"$1,829.48","$4,522.13","$11,177.39","$7,488.64",$0.00,$0.00,$834.66,$497.13,"$4,328.49","$10,485.04","$7,257.72",$0.00,$0.00,"$1,460.86","$2,764.03","$3,452.43","$10,864.18","$9,457.38",$0.00,$0.00,$0.00,$943.43,"$3,738.96","$9,789.03","$7,346.59",$0.00,$0.00,$891.44,"$1,518.01","$3,113.61","$7,348.07","$6,377.82",$0.00,$0.00,"$1,794.12",$622.06,"$3,443.79","$5,369.50","$3,826.52",$0.00,$0.00,$0.00,$742.17,"$3,593.02","$8,261.73","$6,613.02",$0.00,"$2,018.34",$96.69,$790.97,"$2,316.97","$7,216.50","$7,706.68","$2,033.61",$0.00,$691.47,$653.65,"$2,182.04","$8,361.82","$6,373.13",$0.00,$676.37,$998.80,$710.25,"$2,582.39","$9,398.39","$8,434.31",$0.00,$0.00,$0.00,"$1,481.02","$1,552.29","$8,695.40","$7,575.12",$0.00,$0.00,"$1,022.57","$1,400.50","$2,385.47","$8,142.89","$8,654.36",$0.00,$0.00,$349.89,$942.64,"$2,836.84","$7,642.17","$7,097.51",$156.19,$0.00,$0.00,$932.20,"$2,858.54","$8,381.02","$6,171.20",$0.00,$0.00,"$1,015.20","$1,304.01","$1,661.05","$8,532.84","$6,050.28",$0.00,$0.00,$568.43,"$1,273.02","$2,428.15","$6,510.95","$7,728.51",$756.84,"$1,451.17",$204.47,"$1,108.95","$3,126.15","$8,757.38","$7,706.52",$0.00,$86.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00

